FILO,CLASSE,ORDEM,
Angiospermas,Eudicotiledoneas,Rosaceas,
Angiospermas,Eudicotiledoneas,Asteraceae,
Angiospermas,Eudicotiledoneas,Leguminosas, 
Angiospermas,Monocotiledoneas,sem_ordem, 
BRIOFITAS,Anthocerophyta,ANTOCEROS,
BRIOFITAS,BRYOPHYTA,MUSGOS,
BRIOFITAS,MARCHANTIOPHYTA,HEPATICAS,
Gimnospermas,Coniferas,sem_ordem, 
Gimnospermas,Cicadofitas,Cycadaceae, 
Gimnospermas,Cicadofitas,Zamiaceae, 
Gimnospermas,Cicadofitas,Stangeriaceae, 
Gimnospermas,Gnetophyta,Welwitschiales,
Gimnospermas,Gnetophyta,Ephedrales,
Gimnospermas,Gnetophyta,Gnetales,
Gimnospermas,Ginkgophyta,sem_ordem,
PTERIDOFITAS,Lycopodiophyta,licopodios,
PTERIDOFITAS,Lycopodiophyta,Isoetes,
PTERIDOFITAS,Lycopodiophyta,Selaginellas,
PTERIDOFITAS,Monilophyta,sem_ordem,
