ID,FILO,CLASSE,ORDEM,
N001,Angiospermas,Eudicotiledoneas,Rosaceas,
N002,Angiospermas,Eudicotiledoneas,Asteraceae,
N003,Angiospermas,Eudicotiledoneas,Leguminosas, 
N004,Angiospermas,Monocotiledoneas,sem_ordem, 
N005,BRIOFITAS,Anthocerophyta,ANTOCEROS,
N006,BRIOFITAS,BRYOPHYTA,MUSGOS,
N007,BRIOFITAS,MARCHANTIOPHYTA,HEPATICAS,
N008,Gimnospermas,Coniferas,sem_ordem, 
N009,Gimnospermas,Cicadofitas,Cycadaceae, 
N010,Gimnospermas,Cicadofitas,Zamiaceae, 
N011,Gimnospermas,Cicadofitas,Stangeriaceae, 
N012,Gimnospermas,Gnetophyta,Welwitschiales,
N013,Gimnospermas,Gnetophyta,Ephedrales,
N014,Gimnospermas,Gnetophyta,Gnetales,
N015,Gimnospermas,Ginkgophyta,sem_ordem,
N016,PTERIDOFITAS,Lycopodiophyta,licopodios,
N017,PTERIDOFITAS,Lycopodiophyta,Isoetes,
N018,PTERIDOFITAS,Lycopodiophyta,Selaginellas,
N019,PTERIDOFITAS,Monilophyta,sem_ordem
